timestamp_seconds,timestamp_human,quadrant,well,spot_1_x,spot_1_y,spot_1_r,spot_2_x,spot_2_y,spot_2_r
1740593314,26/02/2025 18:08:34,4,1,2825,808,46,3665,863,44
1740593322,26/02/2025 18:08:42,5,0,1008,917,41,2045,964,46
1740593322,26/02/2025 18:08:42,5,1,3664,964,46,4627,994,43
1740594214,26/02/2025 18:23:34,0,0,478,619,32,1133,608,34
1740594214,26/02/2025 18:23:34,0,1,2160,563,32,2841,546,32
1740594222,26/02/2025 18:23:42,1,0,609,435,27,1246,477,28
1740594222,26/02/2025 18:23:42,1,1,2209,503,29,2825,513,29
1740594230,26/02/2025 18:23:50,2,0,605,739,28,1443,767,43
1740594230,26/02/2025 18:23:50,2,1,2750,833,43,3581,877,37
1740594239,26/02/2025 18:23:59,3,0,723,609,33,1432,647,33
1740594239,26/02/2025 18:23:59,3,1,2562,635,32,3271,620,30
1740594214,26/02/2025 18:23:34,4,0,585,894,34,1442,895,41
1740594214,26/02/2025 18:23:34,4,1,2825,809,46,3659,856,40
1740594222,26/02/2025 18:23:42,5,0,1006,906,33,2042,972,51
1740594222,26/02/2025 18:23:42,5,1,3665,964,45,4627,995,44
1740595114,26/02/2025 18:38:34,0,0,473,620,33,1138,603,30
1740595114,26/02/2025 18:38:34,0,1,2161,562,31,2838,549,31
1740595122,26/02/2025 18:38:42,1,0,608,434,28,1246,476,29
1740595122,26/02/2025 18:38:42,1,1,2210,501,31,2824,514,28
1740595130,26/02/2025 18:38:50,2,0,606,738,28,1436,772,46
1740595130,26/02/2025 18:38:50,2,1,2751,837,40,3580,880,40
1740595138,26/02/2025 18:38:58,3,0,725,607,32,1428,650,32
1740595138,26/02/2025 18:38:58,3,1,2562,633,32,3275,622,34
1740595114,26/02/2025 18:38:34,4,0,580,889,41,1442,891,37
1740595114,26/02/2025 18:38:34,4,1,2826,810,47,3664,862,43
1740595122,26/02/2025 18:38:42,5,0,1004,908,35,2046,965,47
1740595122,26/02/2025 18:38:42,5,1,3671,969,46,4627,994,43
1740596014,26/02/2025 18:53:34,0,0,472,618,36,1135,602,33
1740596014,26/02/2025 18:53:34,0,1,2161,564,32,2840,547,33
1740596022,26/02/2025 18:53:42,1,0,609,434,28,1245,475,30
1740596022,26/02/2025 18:53:42,1,1,2210,502,30,2822,513,28
1740596030,26/02/2025 18:53:50,2,0,608,736,28,1443,760,37
1740596030,26/02/2025 18:53:50,2,1,2749,833,43,3581,878,37
1740596039,26/02/2025 18:53:59,3,0,721,608,35,1427,644,35
1740596039,26/02/2025 18:53:59,3,1,2562,637,35,3275,623,35
1740596014,26/02/2025 18:53:34,4,0,584,886,42,1441,892,37
1740596014,26/02/2025 18:53:34,4,1,2824,809,46,3665,863,43
1740596022,26/02/2025 18:53:42,5,0,1006,910,38,2044,969,51
1740596022,26/02/2025 18:53:42,5,1,3676,969,48,4628,997,46
1740596914,26/02/2025 19:08:34,0,0,482,618,29,1135,604,32
1740596914,26/02/2025 19:08:34,0,1,2160,563,32,2837,545,31
1740596922,26/02/2025 19:08:42,1,0,608,434,28,1246,478,28
1740596922,26/02/2025 19:08:42,1,1,2211,501,30,2825,514,29
1740596931,26/02/2025 19:08:51,2,0,608,736,28,1445,769,45
1740596931,26/02/2025 19:08:51,2,1,2757,829,50,3586,884,45
1740596939,26/02/2025 19:08:59,3,0,723,608,34,1427,647,34
1740596939,26/02/2025 19:08:59,3,1,2562,634,33,3274,621,33
1740596914,26/02/2025 19:08:34,4,0,584,891,37,1434,896,45
1740596914,26/02/2025 19:08:34,4,1,2824,808,45,3658,861,37
1740596922,26/02/2025 19:08:42,5,0,1006,903,30,2047,965,47
1740596922,26/02/2025 19:08:42,5,1,3678,967,46,4629,997,47
1740597814,26/02/2025 19:23:34,0,0,481,624,26,1143,604,33
1740597814,26/02/2025 19:23:34,0,1,2161,562,31,2839,547,30
1740597832,26/02/2025 19:23:52,1,0,608,434,28,1245,476,29
1740597832,26/02/2025 19:23:52,1,1,2209,501,30,2822,515,28
1740597841,26/02/2025 19:24:01,2,0,608,737,27,1435,772,46
1740597841,26/02/2025 19:24:01,2,1,2749,833,44,3580,878,38
1740597849,26/02/2025 19:24:09,3,0,722,608,35,1427,646,35
1740597849,26/02/2025 19:24:09,3,1,2567,637,34,3275,621,33
1740597814,26/02/2025 19:23:34,4,0,588,885,38,1439,895,42
1740597814,26/02/2025 19:23:34,4,1,2825,808,46,3667,864,45
1740597832,26/02/2025 19:23:52,5,0,1007,907,34,2049,975,44
1740597832,26/02/2025 19:23:52,5,1,3667,966,45,4630,997,47
1740598714,26/02/2025 19:38:34,0,0,485,622,31,1135,601,33
1740598714,26/02/2025 19:38:34,0,1,2162,563,30,2837,548,31
1740598722,26/02/2025 19:38:42,1,0,610,435,28,1247,477,28
1740598722,26/02/2025 19:38:42,1,1,2210,502,29,2823,512,30
1740598730,26/02/2025 19:38:50,2,0,605,740,28,1436,763,44
1740598730,26/02/2025 19:38:50,2,1,2750,834,43,3585,883,44
1740598748,26/02/2025 19:39:08,3,0,724,608,33,1428,646,33
1740598748,26/02/2025 19:39:08,3,1,2563,635,33,3275,622,34
1740598714,26/02/2025 19:38:34,4,0,588,885,38,1441,891,37
1740598714,26/02/2025 19:38:34,4,1,2826,810,47,3669,863,46
1740598722,26/02/2025 19:38:42,5,0,1010,908,36,2048,973,44
1740598722,26/02/2025 19:38:42,5,1,3667,965,46,4623,995,47
1740599614,26/02/2025 19:53:34,0,0,486,622,32,1136,602,32
1740599614,26/02/2025 19:53:34,0,1,2162,561,33,2838,549,32
1740599652,26/02/2025 19:54:12,1,0,609,434,28,1247,477,28
1740599652,26/02/2025 19:54:12,1,1,2210,502,29,2824,515,29
1740599661,26/02/2025 19:54:21,2,0,608,736,28,1442,761,38
1740599661,26/02/2025 19:54:21,2,1,2751,836,41,3582,877,39
1740599669,26/02/2025 19:54:29,3,0,731,607,27,1430,644,27
1740599669,26/02/2025 19:54:29,3,1,2565,638,29,3274,622,34
1740599614,26/02/2025 19:53:34,4,0,588,886,38,1442,891,37
1740599614,26/02/2025 19:53:34,4,1,2825,808,45,3669,864,47
1740599652,26/02/2025 19:54:12,5,0,1003,919,44,2048,969,49
1740599652,26/02/2025 19:54:12,5,1,3670,965,44,4627,996,46
1740600514,26/02/2025 20:08:34,0,0,478,620,33,1136,602,32
1740600514,26/02/2025 20:08:34,0,1,2162,564,31,2837,546,32
1740600522,26/02/2025 20:08:42,1,0,609,435,28,1246,477,28
1740600522,26/02/2025 20:08:42,1,1,2211,502,29,2823,513,30
1740600531,26/02/2025 20:08:51,2,0,605,734,30,1438,764,42
1740600531,26/02/2025 20:08:51,2,1,2750,833,43,3583,876,37
1740600539,26/02/2025 20:08:59,3,0,725,606,32,1427,647,32
1740600539,26/02/2025 20:08:59,3,1,2561,635,30,3267,618,27
1740600514,26/02/2025 20:08:34,4,0,582,888,41,1441,893,38
1740600514,26/02/2025 20:08:34,4,1,2824,808,45,3669,864,47
1740600522,26/02/2025 20:08:42,5,0,1006,916,42,2045,966,47
1740600522,26/02/2025 20:08:42,5,1,3666,963,46,4628,994,44
1740601414,26/02/2025 20:23:34,0,0,484,616,27,1136,603,31
1740601414,26/02/2025 20:23:34,0,1,2160,566,32,2837,546,30
1740601422,26/02/2025 20:23:42,1,0,609,436,27,1245,475,30
1740601422,26/02/2025 20:23:42,1,1,2210,502,29,2825,513,29
1740601431,26/02/2025 20:23:51,2,0,610,736,29,1437,763,43
1740601431,26/02/2025 20:23:51,2,1,2751,833,43,3583,877,38
1740601439,26/02/2025 20:23:59,3,0,725,608,32,1428,647,32
1740601439,26/02/2025 20:23:59,3,1,2560,634,32,3273,621,32
1740601414,26/02/2025 20:23:34,4,0,587,886,39,1443,894,40
1740601414,26/02/2025 20:23:34,4,1,2825,810,47,3659,856,39
1740601422,26/02/2025 20:23:42,5,0,1001,918,57,2035,972,57
1740601422,26/02/2025 20:23:42,5,1,3674,960,37,4628,995,44
1740602314,26/02/2025 20:38:34,0,0,484,619,30,1136,603,31
1740602314,26/02/2025 20:38:34,0,1,2162,562,32,2837,550,31
1740602322,26/02/2025 20:38:42,1,0,611,434,25,1245,475,30
1740602322,26/02/2025 20:38:42,1,1,2209,503,28,2822,515,28
1740602330,26/02/2025 20:38:50,2,0,607,738,28,1442,761,38
1740602330,26/02/2025 20:38:50,2,1,2751,836,41,3575,874,40
1740602339,26/02/2025 20:38:59,3,0,723,607,34,1425,648,34
1740602339,26/02/2025 20:38:59,3,1,2565,634,34,3274,623,35
1740602314,26/02/2025 20:38:34,4,0,578,889,42,1445,893,40
1740602314,26/02/2025 20:38:34,4,1,2824,808,45,3663,860,42
1740602322,26/02/2025 20:38:42,5,0,999,924,51,2045,969,51
1740602322,26/02/2025 20:38:42,5,1,3657,962,40,4626,994,44
1740603214,26/02/2025 20:53:34,0,0,476,619,34,1136,603,31
1740603214,26/02/2025 20:53:34,0,1,2162,565,30,2837,547,31
1740603222,26/02/2025 20:53:42,1,0,609,435,26,1245,475,30
1740603222,26/02/2025 20:53:42,1,1,2210,501,30,2820,514,27
1740603230,26/02/2025 20:53:50,2,0,607,738,28,1441,771,46
1740603230,26/02/2025 20:53:50,2,1,2750,834,43,3579,866,49
1740603239,26/02/2025 20:53:59,3,0,725,608,32,1427,647,32
1740603239,26/02/2025 20:53:59,3,1,2560,635,33,3275,624,36
1740603214,26/02/2025 20:53:34,4,0,580,889,43,1437,897,44
1740603214,26/02/2025 20:53:34,4,1,2825,806,43,3667,863,45
1740603222,26/02/2025 20:53:42,5,0,1007,914,41,2045,968,49
1740603222,26/02/2025 20:53:42,5,1,3658,975,32,4628,998,45
1740604114,26/02/2025 21:08:34,0,0,476,617,35,1136,603,31
1740604114,26/02/2025 21:08:34,0,1,2162,564,31,2839,543,32
1740604122,26/02/2025 21:08:42,1,0,606,433,30,1246,478,28
1740604122,26/02/2025 21:08:42,1,1,2210,502,29,2821,514,28
1740604130,26/02/2025 21:08:50,2,0,605,740,27,1437,764,43
1740604130,26/02/2025 21:08:50,2,1,2751,832,44,3592,887,53
1740604138,26/02/2025 21:08:58,3,0,724,607,33,1428,648,33
1740604138,26/02/2025 21:08:58,3,1,2561,636,34,3275,625,37
1740604114,26/02/2025 21:08:34,4,0,576,891,45,1441,891,37
1740604114,26/02/2025 21:08:34,4,1,2826,810,47,3664,854,36
1740604122,26/02/2025 21:08:42,5,0,1009,910,37,2046,963,45
1740604122,26/02/2025 21:08:42,5,1,3662,978,37,4625,995,45
1740605014,26/02/2025 21:23:34,0,0,474,616,36,1134,600,35
1740605014,26/02/2025 21:23:34,0,1,2160,562,30,2835,549,33
1740605022,26/02/2025 21:23:42,1,0,611,435,26,1244,476,29
1740605022,26/02/2025 21:23:42,1,1,2209,501,30,2820,514,27
1740605030,26/02/2025 21:23:50,2,0,606,738,27,1441,767,42
1740605030,26/02/2025 21:23:50,2,1,2751,834,43,3577,875,41
1740605039,26/02/2025 21:23:59,3,0,724,607,33,1427,646,33
1740605039,26/02/2025 21:23:59,3,1,2564,635,32,3272,618,30
1740605014,26/02/2025 21:23:34,4,0,584,895,37,1445,893,40
1740605014,26/02/2025 21:23:34,4,1,2826,810,47,3664,855,37
1740605022,26/02/2025 21:23:42,5,0,1012,921,37,2044,960,42
1740605022,26/02/2025 21:23:42,5,1,3668,972,38,4628,995,45
1740605914,26/02/2025 21:38:34,0,0,480,623,30,1135,602,32
1740605914,26/02/2025 21:38:34,0,1,2162,562,31,2839,544,31
1740605922,26/02/2025 21:38:42,1,0,609,434,27,1245,475,29
1740605922,26/02/2025 21:38:42,1,1,2211,501,30,2821,514,28
1740605930,26/02/2025 21:38:50,2,0,608,737,28,1442,759,37
1740605930,26/02/2025 21:38:50,2,1,2751,834,43,3580,878,37
1740605939,26/02/2025 21:38:59,3,0,723,608,34,1427,645,34
1740605939,26/02/2025 21:38:59,3,1,2564,633,32,3273,617,28
1740605914,26/02/2025 21:38:34,4,0,587,895,34,1437,897,43
1740605914,26/02/2025 21:38:34,4,1,2824,807,44,3659,860,38
1740605922,26/02/2025 21:38:42,5,0,1021,921,30,2045,959,40
1740605922,26/02/2025 21:38:42,5,1,3665,968,42,4627,993,43
1740606814,26/02/2025 21:53:34,0,0,481,619,31,1135,603,32
1740606814,26/02/2025 21:53:34,0,1,2161,565,32,2837,543,31
1740606822,26/02/2025 21:53:42,1,0,607,433,30,1245,477,28
1740606822,26/02/2025 21:53:42,1,1,2212,503,28,2822,513,29
1740606840,26/02/2025 21:54:00,2,0,606,739,28,1441,759,37
1740606840,26/02/2025 21:54:00,2,1,2751,834,43,3583,877,38
1740606849,26/02/2025 21:54:09,3,0,723,608,34,1428,648,34
1740606849,26/02/2025 21:54:09,3,1,2561,632,33,3271,622,32
1740606814,26/02/2025 21:53:34,4,0,591,887,41,1441,891,37
1740606814,26/02/2025 21:53:34,4,1,2826,808,45,3663,854,36
1740606822,26/02/2025 21:53:42,5,0,1021,927,25,2045,973,45
1740606822,26/02/2025 21:53:42,5,1,3671,965,44,4628,996,46
1740607714,26/02/2025 22:08:34,0,0,479,623,29,1130,602,36
1740607714,26/02/2025 22:08:34,0,1,2162,563,31,2839,547,32
1740607722,26/02/2025 22:08:42,1,0,609,435,28,1246,477,28
1740607722,26/02/2025 22:08:42,1,1,2211,504,28,2822,513,30
1740607730,26/02/2025 22:08:50,2,0,610,736,28,1442,761,38
1740607730,26/02/2025 22:08:50,2,1,2752,838,40,3581,878,37
1740607739,26/02/2025 22:08:59,3,0,724,607,33,1425,648,33
1740607739,26/02/2025 22:08:59,3,1,2567,633,34,3274,625,36
1740607714,26/02/2025 22:08:34,4,0,581,888,42,1441,891,37
1740607714,26/02/2025 22:08:34,4,1,2826,810,47,3658,857,39
1740607722,26/02/2025 22:08:42,5,0,1018,917,30,2048,968,47
1740607722,26/02/2025 22:08:42,5,1,3667,964,46,4626,996,46
1740608614,26/02/2025 22:23:34,0,0,478,620,32,1130,600,37
1740608614,26/02/2025 22:23:34,0,1,2161,565,32,2837,545,33
1740608622,26/02/2025 22:23:42,1,0,611,435,26,1245,476,29
1740608622,26/02/2025 22:23:42,1,1,2211,502,29,2820,514,28
1740608631,26/02/2025 22:23:51,2,0,606,739,28,1442,760,37
1740608631,26/02/2025 22:23:51,2,1,2756,831,48,3579,877,38
1740608639,26/02/2025 22:23:59,3,0,727,608,31,1429,648,31
1740608639,26/02/2025 22:23:59,3,1,2561,633,31,3271,621,32
1740608614,26/02/2025 22:23:34,4,0,582,888,42,1440,890,36
1740608614,26/02/2025 22:23:34,4,1,2827,809,47,3663,855,37
1740608622,26/02/2025 22:23:42,5,0,1006,907,32,2047,973,44
1740608622,26/02/2025 22:23:42,5,1,3667,964,46,4624,995,46
1740609514,26/02/2025 22:38:34,0,0,481,621,32,1131,600,36
1740609514,26/02/2025 22:38:34,0,1,2161,565,32,2839,546,33
1740609522,26/02/2025 22:38:42,1,0,610,434,27,1245,478,28
1740609522,26/02/2025 22:38:42,1,1,2211,501,30,2821,514,28
1740609530,26/02/2025 22:38:50,2,0,608,740,29,1440,765,40
